game_id,total_all,total_commented,total_rated,total_rated_and_commented,avgweight,numweights,poll_avg,poll_votes
125,3823.0,1096.0,3337.0,845.0,1.5639,227.0,1.5638766519823788,227.0
126,1120.0,329.0,902.0,265.0,1.6582,79.0,1.6582278481012658,79.0
127,362.0,126.0,224.0,77.0,2.44,25.0,2.44,25.0
128,3800.0,994.0,3414.0,759.0,1.485,233.0,1.4849785407725322,233.0
129,,,,,0.0,0.0,0.0,0.0
130,2007.0,603.0,1695.0,472.0,2.9342,152.0,2.9342105263157894,152.0
131,,,,,0.0,0.0,0.0,0.0
132,5742.0,1452.0,4734.0,1081.0,1.9127,424.0,1.912735849056604,424.0
133,264.0,64.0,156.0,47.0,2.5455,11.0,2.5454545454545454,11.0
134,778.0,241.0,572.0,168.0,2.0227,44.0,2.022727272727273,44.0
135,1217.0,341.0,854.0,215.0,2.1951,82.0,2.1951219512195124,82.0
136,150.0,36.0,91.0,18.0,1.6,5.0,1.6,5.0
137,1965.0,453.0,1715.0,309.0,1.2872,94.0,1.2872340425531914,94.0
138,2842.0,1636.0,1306.0,663.0,0.0,0.0,0.0,0.0
139,324.0,114.0,231.0,77.0,1.3529,17.0,1.3529411764705883,17.0
140,11139.0,2919.0,9998.0,2213.0,1.1527,596.0,1.1526845637583891,596.0
141,1651.0,502.0,1326.0,411.0,2.2248,129.0,2.224806201550388,129.0
142,914.0,271.0,699.0,218.0,2.9701,67.0,2.970149253731343,67.0
143,36.0,14.0,18.0,9.0,1.0,1.0,1.0,1.0
144,202.0,64.0,110.0,32.0,2.3,10.0,2.3,10.0
145,565.0,147.0,385.0,93.0,2.2353,34.0,2.235294117647059,34.0
146,1290.0,415.0,926.0,322.0,1.9735,113.0,1.9734513274336285,113.0
147,1419.0,435.0,1151.0,311.0,2.7333,105.0,2.7333333333333334,105.0
148,177.0,49.0,138.0,37.0,1.7273,11.0,1.7272727272727273,11.0
149,,,,,0.0,0.0,0.0,0.0
150,12674.0,2899.0,11485.0,2404.0,1.123,683.0,1.1229868228404098,683.0
151,550.0,147.0,456.0,130.0,1.2333,30.0,1.2333333333333334,30.0
152,2921.0,844.0,2065.0,619.0,2.5585,188.0,2.5585106382978724,188.0
153,2956.0,535.0,2622.0,385.0,1.4713,174.0,1.471264367816092,174.0
154,145.0,55.0,113.0,43.0,3.75,8.0,3.75,8.0
155,903.0,267.0,695.0,197.0,2.377,61.0,2.377049180327869,61.0
156,814.0,268.0,638.0,205.0,1.8814,59.0,1.88135593220339,59.0
157,2159.0,631.0,1866.0,508.0,2.7365,148.0,2.7364864864864864,148.0
158,1105.0,289.0,664.0,167.0,2.5818,55.0,2.581818181818182,55.0
159,,,,,0.0,0.0,0.0,0.0
